X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.628025	-2.494613e-06	1.070542e-05	1.059862e-05	-1.220864e-06	
21.629026	-1.142157e-06	7.812560e-06	1.052133e-05	1.855127e-06	
21.630026	2.848899e-06	1.613733e-05	1.019595e-05	3.415960e-06	
21.631026	3.517499e-06	4.670537e-05	4.915833e-06	3.275041e-07	
21.632027	2.315602e-06	8.890743e-05	-1.400991e-06	1.901749e-07	
21.633027	2.148951e-06	9.622728e-05	-2.299980e-06	1.517684e-06	
21.634027	7.066414e-07	3.543822e-05	1.854827e-06	1.027722e-06	
21.635028	3.698488e-06	-5.739966e-05	3.065688e-06	-2.426345e-06	
21.636028	8.825319e-06	-1.057160e-04	-1.574514e-07	-4.253045e-06	
21.637028	7.951280e-06	-1.112516e-04	-5.403699e-06	-2.227935e-06	
21.638029	3.112424e-06	-1.168812e-04	-2.556235e-06	-2.474329e-06	
21.639029	-4.558426e-06	-8.584612e-05	3.760132e-06	-1.305627e-06	
21.640029	-5.790588e-06	-1.710865e-05	-1.406835e-06	3.330341e-06	
21.641030	5.224257e-07	2.095078e-05	-4.261276e-06	1.801914e-06	
21.642030	-2.411995e-07	2.452566e-05	-3.656724e-06	-1.891264e-06	
21.643030	-1.586297e-06	1.628436e-05	-5.233450e-06	8.258100e-07	
21.644031	1.258624e-07	5.440346e-06	-2.004208e-06	3.240948e-06	
21.645031	-2.013487e-06	8.873977e-06	-4.001465e-07	-5.948797e-07	
21.646031	-1.102289e-06	1.620009e-05	5.062714e-07	-2.142495e-06	
21.647032	-1.721587e-06	1.548293e-05	1.986033e-06	1.331833e-06	
21.648032	-5.206117e-06	1.579321e-05	1.252760e-06	-6.788947e-07	
21.649032	-3.287338e-06	1.726202e-05	1.312778e-06	-2.587313e-06	
21.650033	-2.597608e-06	1.651053e-05	-7.650877e-07	8.843925e-07	
21.651033	-1.913631e-06	1.832718e-05	-1.229501e-06	-3.159433e-07	
21.652033	6.196464e-07	1.760656e-05	4.640365e-07	-3.029119e-06	
21.653034	-2.542894e-07	1.272552e-05	-4.751968e-07	-2.356229e-06	
21.654034	-6.122303e-07	2.407196e-05	2.025313e-06	-9.989734e-07	
21.655034	-5.209147e-07	3.747186e-05	7.311435e-07	7.732744e-07	
21.656034	1.068486e-06	1.990659e-05	-5.210921e-06	1.584684e-06	
21.657035	5.691085e-06	-1.512941e-05	1.359728e-06	1.314788e-06	
21.658035	5.653662e-06	-2.369102e-05	7.694079e-06	5.858576e-07	
21.659035	3.648026e-06	-1.389953e-06	4.623160e-06	1.034792e-06	
21.660036	3.542701e-06	-2.690716e-06	5.794813e-06	1.912793e-06	
21.661036	9.805505e-07	-7.347543e-06	3.063629e-06	1.731484e-06	
21.662036	-3.601676e-08	1.163705e-05	-3.552787e-06	1.495387e-06	
21.663037	9.444614e-07	9.174426e-06	-3.404560e-06	2.539057e-07	
21.664037	1.789542e-06	2.277069e-05	-4.126038e-06	4.709878e-07	
21.665037	2.057733e-06	3.816313e-05	-2.577982e-06	3.634262e-07	
21.666038	-2.536055e-06	-1.334465e-05	2.016780e-06	-7.222159e-08	
21.667038	-5.198092e-06	-6.073258e-05	-5.395132e-07	2.323040e-06	
21.668038	-1.932641e-06	-5.297856e-05	-3.000404e-06	2.991303e-06	
21.669039	-3.101440e-07	-2.701875e-05	-3.270675e-07	3.384402e-06	
21.670039	-2.410937e-06	-1.260875e-05	-6.865356e-07	2.817866e-07	
21.671039	-3.809421e-06	-1.273737e-05	-5.465136e-06	-5.295620e-06	
21.672040	-2.605526e-06	-6.268129e-06	-4.465876e-06	-4.592955e-06	
21.673040	-2.786619e-06	3.243291e-06	1.343786e-06	-3.778574e-06	
21.674040	-3.055060e-06	3.161496e-06	1.519799e-07	-1.246456e-06	
21.675041	-2.019275e-06	2.313184e-06	-8.907823e-07	3.078539e-06	
21.676041	-1.469340e-06	4.335563e-06	3.379450e-06	6.136929e-07	
21.677041	3.100009e-07	5.817873e-06	3.222331e-06	-1.483780e-06	
21.678042	-2.033493e-07	3.913509e-06	-1.140191e-06	-3.402179e-07	
21.679042	-6.660492e-07	1.970973e-06	-1.870370e-06	-1.168226e-06	
21.680042	3.763930e-06	4.118289e-06	-1.384006e-07	-1.643115e-06	
21.681043	3.584472e-06	5.636476e-06	-2.874811e-06	-2.794674e-07	
21.682043	-9.812484e-08	4.351125e-06	-4.143317e-06	1.455379e-06	
21.683043	4.974570e-07	2.712444e-06	1.258327e-06	2.429089e-06	
21.684044	-2.765712e-07	3.020972e-06	4.235226e-06	1.453178e-06	
21.685044	-1.168908e-06	5.973701e-06	1.676518e-06	-1.111209e-07	
21.686044	1.771329e-06	6.810370e-06	2.119609e-07	-6.184545e-07	
21.687045	2.271922e-06	6.229009e-06	5.812121e-07	7.998188e-07	
21.688045	-3.685772e-07	8.159633e-06	-4.163217e-07	2.743002e-06	
21.689045	-2.404663e-07	7.925602e-06	1.496042e-06	3.143289e-06	
21.690046	9.422123e-07	7.398621e-06	4.128044e-06	3.058972e-06	
21.691046	1.628459e-06	8.981734e-06	2.021938e-07	-1.249515e-06	
21.692046	3.419756e-06	1.372472e-06	-3.064938e-06	-4.721626e-06	
21.693047	2.530216e-06	-1.589475e-05	2.475472e-07	-1.063311e-06	
21.694047	-5.569181e-07	-2.659121e-05	4.652037e-06	-9.263641e-07	
21.695047	-1.849585e-06	-3.251551e-05	4.668474e-06	-3.729887e-06	
21.696047	9.001055e-07	-3.427923e-05	1.385760e-06	-5.651557e-06	
21.697048	4.587471e-06	2.568346e-06	1.504631e-06	-4.212314e-06	
21.698048	4.924307e-06	5.120307e-05	2.859326e-06	3.937067e-06	
21.699048	4.021299e-06	3.968061e-05	1.224726e-06	5.776231e-06	
21.700049	-1.301707e-07	6.251230e-06	-2.770609e-07	4.171661e-06	
21.701049	-3.663818e-06	4.685548e-06	-2.651849e-06	4.508917e-06	
21.702049	-5.904360e-07	3.955879e-06	-3.746424e-06	-4.454941e-08	
21.703050	5.785898e-07	-6.219057e-06	-2.792028e-06	-1.480986e-06	
21.704050	-1.603908e-06	-5.591027e-06	-3.587938e-06	-2.659381e-06	
21.705050	-9.421026e-07	-6.644344e-07	-2.617742e-06	-4.752686e-06	
21.706051	-1.188129e-06	-2.974079e-06	1.377468e-07	-5.572842e-07	
21.707051	-4.332492e-06	-5.088908e-06	1.762958e-06	-1.492295e-06	
21.708051	-3.780422e-06	-6.837052e-06	1.442780e-06	-4.382458e-06	
21.709052	-1.267750e-06	-8.563783e-06	-1.124735e-06	1.170576e-08	
21.710052	-3.118089e-06	-1.710431e-06	-2.016598e-06	1.129105e-06	
21.711052	-2.455575e-06	1.324933e-06	-7.902662e-07	-2.980870e-06	
21.712053	-1.302268e-06	-8.538151e-07	-1.345809e-06	-3.344471e-06	
21.713053	-5.494213e-06	2.498824e-07	-3.474893e-06	-5.196680e-07	
21.714053	-4.844214e-06	-1.888728e-06	-4.011558e-06	-8.360219e-07	
21.715054	-1.140910e-06	-1.233796e-06	-1.560934e-06	-3.952271e-07	
21.716054	2.052436e-06	-2.703555e-07	1.160701e-06	3.255335e-06	
21.717054	3.950236e-06	1.408354e-06	1.579006e-06	4.147407e-06	
