X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.632027	4.618165e-06	4.601942e-05	4.305238e-06	2.567873e-06	
21.633027	4.622328e-06	4.580939e-05	4.286060e-06	2.568793e-06	
21.634027	4.624145e-06	4.556414e-05	4.265320e-06	2.569218e-06	
21.635028	4.623602e-06	4.528495e-05	4.243087e-06	2.569176e-06	
21.636028	4.620683e-06	4.497306e-05	4.219432e-06	2.568696e-06	
21.637028	4.615374e-06	4.462975e-05	4.194425e-06	2.567806e-06	
21.638029	4.607659e-06	4.425628e-05	4.168137e-06	2.566535e-06	
21.639029	4.597524e-06	4.385390e-05	4.140638e-06	2.564910e-06	
21.640029	4.584952e-06	4.342389e-05	4.111998e-06	2.562962e-06	
21.641030	4.569931e-06	4.296751e-05	4.082288e-06	2.560717e-06	
21.642030	4.552443e-06	4.248601e-05	4.051579e-06	2.558205e-06	
21.643030	4.532475e-06	4.198066e-05	4.019940e-06	2.555453e-06	
21.644031	4.510011e-06	4.145273e-05	3.987443e-06	2.552491e-06	
21.645031	4.485037e-06	4.090347e-05	3.954157e-06	2.549347e-06	
21.646031	4.457536e-06	4.033416e-05	3.920153e-06	2.546049e-06	
21.647032	4.427495e-06	3.974604e-05	3.885502e-06	2.542626e-06	
21.648032	4.394898e-06	3.914039e-05	3.850273e-06	2.539106e-06	
21.649032	4.359730e-06	3.851846e-05	3.814538e-06	2.535517e-06	
21.650033	4.321977e-06	3.788152e-05	3.778367e-06	2.531889e-06	
21.651033	4.281622e-06	3.723084e-05	3.741829e-06	2.528249e-06	
21.652033	4.238652e-06	3.656767e-05	3.704996e-06	2.524626e-06	
21.653034	4.193050e-06	3.589328e-05	3.667938e-06	2.521048e-06	
21.654034	4.144803e-06	3.520893e-05	3.630726e-06	2.517544e-06	
21.655034	4.093894e-06	3.451588e-05	3.593429e-06	2.514143e-06	
21.656034	4.040310e-06	3.381540e-05	3.556119e-06	2.510872e-06	
21.657035	3.984035e-06	3.310875e-05	3.518865e-06	2.507761e-06	
21.658035	3.925053e-06	3.239718e-05	3.481738e-06	2.504837e-06	
21.659035	3.863351e-06	3.168198e-05	3.444809e-06	2.502129e-06	
21.660036	3.798912e-06	3.096438e-05	3.408147e-06	2.499666e-06	
21.661036	3.731722e-06	3.024567e-05	3.371824e-06	2.497476e-06	
21.662036	3.661766e-06	2.952710e-05	3.335910e-06	2.495587e-06	
21.663037	3.589029e-06	2.880993e-05	3.300474e-06	2.494029e-06	
21.664037	3.513496e-06	2.809543e-05	3.265589e-06	2.492828e-06	
21.665037	3.435151e-06	2.738486e-05	3.231323e-06	2.492015e-06	
21.666038	3.353981e-06	2.667949e-05	3.197748e-06	2.491616e-06	
21.667038	3.269969e-06	2.598056e-05	3.164934e-06	2.491662e-06	
21.668038	3.183100e-06	2.528936e-05	3.132950e-06	2.492179e-06	
21.669039	3.093361e-06	2.460714e-05	3.101869e-06	2.493198e-06	
21.670039	3.000735e-06	2.393516e-05	3.071760e-06	2.494745e-06	
21.671039	2.905207e-06	2.327468e-05	3.042693e-06	2.496850e-06	
