X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
2.127479	1.231878e-05	9.197670e-06	2.849039e-06	2.475939e-06	
2.128480	1.123114e-05	9.204865e-06	2.875453e-06	2.464309e-06	
2.129481	1.020109e-05	9.208658e-06	2.902370e-06	2.453205e-06	
2.130482	9.227316e-06	9.209248e-06	2.929664e-06	2.442628e-06	
2.131483	8.308525e-06	9.206835e-06	2.957212e-06	2.432580e-06	
2.132483	7.443416e-06	9.201621e-06	2.984886e-06	2.423063e-06	
2.133484	6.630691e-06	9.193804e-06	3.012563e-06	2.414078e-06	
2.134485	5.869050e-06	9.183585e-06	3.040116e-06	2.405626e-06	
2.135486	5.157194e-06	9.171163e-06	3.067421e-06	2.397709e-06	
2.136487	4.493823e-06	9.156739e-06	3.094352e-06	2.390330e-06	
2.137488	3.877639e-06	9.140513e-06	3.120783e-06	2.383488e-06	
2.138489	3.307342e-06	9.122685e-06	3.146590e-06	2.377187e-06	
2.139490	2.781632e-06	9.103454e-06	3.171648e-06	2.371427e-06	
2.140491	2.299211e-06	9.083021e-06	3.195830e-06	2.366210e-06	
2.141492	1.858779e-06	9.061585e-06	3.219011e-06	2.361537e-06	
2.142493	1.459037e-06	9.039348e-06	3.241067e-06	2.357411e-06	
2.143494	1.098685e-06	9.016508e-06	3.261872e-06	2.353832e-06	
2.144495	7.764249e-07	8.993265e-06	3.281300e-06	2.350802e-06	
2.145496	4.909567e-07	8.969821e-06	3.299227e-06	2.348324e-06	
2.146497	2.409812e-07	8.946374e-06	3.315527e-06	2.346397e-06	
2.147498	2.519922e-08	8.923125e-06	3.330074e-06	2.345025e-06	
2.148499	-1.576886e-07	8.900273e-06	3.342743e-06	2.344208e-06	
2.149500	-3.089816e-07	8.878020e-06	3.353410e-06	2.343948e-06	
2.150500	-4.299790e-07	8.856564e-06	3.361949e-06	2.344247e-06	
2.151501	-5.219800e-07	8.836106e-06	3.368233e-06	2.345106e-06	
2.152502	-5.862841e-07	8.816845e-06	3.372139e-06	2.346527e-06	
2.153503	-6.241903e-07	8.798983e-06	3.373541e-06	2.348511e-06	
2.154504	-6.369981e-07	8.782718e-06	3.372314e-06	2.351060e-06	
2.155505	-6.260068e-07	8.768251e-06	3.368331e-06	2.354175e-06	
2.156506	-5.925155e-07	8.755782e-06	3.361469e-06	2.357858e-06	
2.157507	-5.378236e-07	8.745510e-06	3.351601e-06	2.362111e-06	
2.158508	-4.632304e-07	8.737636e-06	3.338602e-06	2.366935e-06	
2.159509	-3.700351e-07	8.732360e-06	3.322347e-06	2.372332e-06	
2.160510	-2.595371e-07	8.729882e-06	3.302711e-06	2.378303e-06	
2.161511	-1.330355e-07	8.730402e-06	3.279568e-06	2.384850e-06	
2.162512	8.170189e-09	8.734119e-06	3.252793e-06	2.391974e-06	
2.163513	1.627808e-07	8.741235e-06	3.222261e-06	2.399677e-06	
2.164514	3.294971e-07	8.751948e-06	3.187846e-06	2.407961e-06	
2.165515	5.070197e-07	8.766459e-06	3.149424e-06	2.416826e-06	
2.166516	6.940494e-07	8.784967e-06	3.106868e-06	2.426275e-06	
2.167517	8.892869e-07	8.807674e-06	3.060053e-06	2.436310e-06	
2.168517	1.091433e-06	8.834778e-06	3.008855e-06	2.446931e-06	
2.169518	1.299188e-06	8.866481e-06	2.953148e-06	2.458140e-06	
2.170519	1.511253e-06	8.902981e-06	2.892806e-06	2.469940e-06	
2.171520	1.726329e-06	8.944479e-06	2.827705e-06	2.482330e-06	
2.172521	1.943116e-06	8.991175e-06	2.757718e-06	2.495314e-06	
2.173522	2.160315e-06	9.043268e-06	2.682721e-06	2.508893e-06	
2.174523	2.376627e-06	9.100960e-06	2.602588e-06	2.523067e-06	
2.175524	2.590949e-06	9.164380e-06	2.517293e-06	2.537833e-06	
2.176525	2.803022e-06	9.233366e-06	2.427232e-06	2.553163e-06	
2.177526	3.012816e-06	9.307672e-06	2.332917e-06	2.569020e-06	
2.178527	3.220300e-06	9.387054e-06	2.234859e-06	2.585369e-06	
2.179528	3.425444e-06	9.471268e-06	2.133569e-06	2.602174e-06	
2.180529	3.628217e-06	9.560071e-06	2.029559e-06	2.619400e-06	
2.181530	3.828589e-06	9.653217e-06	1.923339e-06	2.637012e-06	
2.182531	4.026528e-06	9.750463e-06	1.815422e-06	2.654974e-06	
2.183532	4.222004e-06	9.851564e-06	1.706318e-06	2.673250e-06	
2.184533	4.414987e-06	9.956277e-06	1.596538e-06	2.691804e-06	
2.185534	4.605446e-06	1.006436e-05	1.486594e-06	2.710602e-06	
2.186534	4.793350e-06	1.017556e-05	1.376998e-06	2.729608e-06	
2.187535	4.978669e-06	1.028964e-05	1.268259e-06	2.748785e-06	
2.188536	5.161372e-06	1.040636e-05	1.160890e-06	2.768100e-06	
2.189537	5.341428e-06	1.052546e-05	1.055402e-06	2.787515e-06	
