X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
1.698074	1.053088e-05	-4.138233e-06	-5.663438e-06	-9.029512e-06	
1.699075	4.456715e-06	-3.055629e-06	-6.858036e-06	-6.938027e-06	
1.700076	-1.547927e-05	6.627220e-06	-2.908545e-06	-1.086973e-07	
1.701076	-5.064597e-05	7.232435e-06	-4.235107e-06	1.842290e-06	
1.702077	-7.915920e-05	-1.975780e-05	-7.937200e-06	4.279560e-06	
1.703078	-9.661402e-05	-2.915262e-05	-9.564431e-06	7.677308e-06	
1.704079	-1.035095e-04	-1.424899e-05	-9.310854e-06	5.642978e-06	
1.705080	-1.000244e-04	3.445527e-07	-9.882597e-07	5.983816e-06	
1.706081	-9.055160e-05	2.171182e-05	9.013897e-06	6.233074e-06	
1.707082	-8.198928e-05	4.137125e-05	1.299065e-05	5.106620e-06	
1.708083	-7.225923e-05	3.416946e-05	1.522356e-05	4.749564e-06	
1.709084	-4.288303e-05	2.114958e-05	9.948192e-06	-2.375951e-06	
1.710085	-7.137522e-06	1.544602e-05	2.699123e-06	-7.412534e-06	
1.711086	1.334895e-05	-1.058353e-05	4.176109e-06	-5.777284e-06	
1.712087	2.640790e-05	-1.034427e-05	4.316341e-06	-2.644336e-06	
1.713088	3.629876e-05	2.895044e-05	2.470901e-06	2.934544e-06	
1.714089	4.025865e-05	1.462659e-05	2.355196e-06	2.670915e-06	
1.715090	3.321708e-05	-4.120111e-05	9.237866e-07	-8.654117e-07	
1.716091	2.316031e-05	-6.164182e-05	2.079715e-06	-7.026793e-07	
1.717092	1.936406e-05	-5.150870e-05	3.545515e-06	-2.513414e-06	
1.718093	1.154128e-05	-4.512004e-05	2.305945e-06	-9.807619e-07	
1.719093	3.665307e-06	-3.799808e-05	3.715469e-06	-4.479973e-09	
1.720094	1.058562e-05	-1.071402e-05	3.855532e-06	-6.121829e-06	
1.721095	3.299750e-05	1.301159e-05	-1.059680e-06	-7.965443e-06	
1.722096	4.588950e-05	1.587485e-05	-3.456033e-06	-1.130914e-05	
1.723097	3.268894e-05	2.576000e-05	-3.130902e-06	-1.157418e-05	
1.724098	1.774681e-05	4.192355e-05	-5.640220e-06	4.049419e-07	
1.725099	1.315261e-05	4.124344e-05	-8.526971e-06	2.901892e-06	
1.726100	1.700947e-05	2.985734e-05	-5.304671e-06	-1.896002e-06	
1.727101	1.635829e-05	1.954971e-05	-6.894011e-07	1.088757e-06	
1.728102	-9.121584e-06	1.254206e-05	-3.274826e-06	6.661587e-06	
1.729103	-2.816319e-05	8.575298e-06	-4.291782e-06	9.092809e-06	
1.730104	-2.563727e-05	6.324218e-06	-9.101108e-07	8.586640e-06	
1.731105	-3.003705e-05	3.490916e-06	-1.227319e-06	1.075940e-05	
1.732106	-3.341498e-05	1.365037e-05	-7.447560e-07	9.231836e-06	
1.733107	-1.496658e-05	4.069739e-05	4.159612e-07	1.735295e-06	
1.734108	2.063533e-05	4.189119e-05	5.813768e-08	7.958416e-07	
1.735109	3.745372e-05	4.044830e-06	2.593768e-06	1.991303e-06	
1.736110	2.077306e-05	-2.504705e-05	1.270950e-06	-4.516456e-06	
1.737110	7.965516e-06	-3.235842e-05	-4.646183e-06	-9.363490e-06	
1.738111	7.292494e-06	-5.086539e-05	-5.300816e-06	-2.098193e-06	
1.739112	6.867309e-06	-6.425485e-05	-2.321262e-06	2.673450e-06	
1.740113	1.619921e-06	-4.446738e-05	3.736667e-07	-4.575406e-06	
1.741114	-7.536935e-06	-2.016632e-05	1.248514e-06	-5.759840e-06	
1.742115	-8.379477e-06	-7.009631e-06	-6.200905e-07	-3.315079e-06	
1.743116	-1.592158e-05	5.034999e-06	7.984201e-07	-7.674237e-06	
