NO_OF_FRAMES	581
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
389	3.88000	310.284	304.344	1623.135	249.750	458.170	1343.079	233.055	514.826	1022.144	296.827	621.510	822.891	259.453	145.207	1352.168	259.273	55.692	1033.956	348.659	-61.059	851.246	291.620	463.580	826.756	244.131	396.879	443.541	205.373	359.259	55.339	165.376	304.486	20.108	302.039	400.339	28.527	384.507	383.066	27.107	278.338	103.590	847.978	258.585	177.346	437.480	214.508	221.077	53.993	167.234	272.017	27.219	311.599	187.732	28.865	399.239	210.291	23.762
390	3.89000	310.118	304.420	1623.145	249.655	458.209	1343.014	233.009	514.762	1022.148	296.478	621.775	822.822	259.455	145.016	1352.475	259.152	55.731	1034.006	348.530	-61.054	851.317	291.495	463.511	826.730	244.181	397.004	443.538	205.717	359.294	54.987	165.444	304.667	20.111	302.166	400.380	28.975	384.456	383.037	26.911	278.286	103.569	847.858	258.576	177.344	437.639	214.181	221.021	54.057	167.457	272.125	27.177	311.576	187.750	28.724	398.889	210.181	23.504
391	3.90000	310.185	304.532	1623.151	249.666	458.281	1343.147	233.022	514.878	1022.048	296.481	621.723	823.104	259.465	145.128	1352.400	259.095	55.727	1033.984	348.402	-61.009	851.229	291.492	463.520	826.736	244.154	397.194	443.610	205.602	359.325	55.058	165.435	304.542	20.059	302.242	400.321	28.601	384.473	383.100	26.983	278.275	103.544	847.958	258.430	177.298	437.506	214.295	220.926	54.191	167.355	272.191	27.033	311.574	187.763	28.907	398.924	210.190	23.527
392	3.91000	309.983	304.592	1623.118	249.602	458.268	1343.049	232.903	514.855	1022.188	296.622	621.796	822.741	259.523	145.191	1352.544	258.989	55.690	1034.043	348.316	-61.029	851.453	291.437	463.553	826.707	243.969	397.181	443.678	205.785	359.375	55.061	165.270	304.540	20.173	301.904	400.301	28.668	384.417	383.136	27.007	278.162	103.527	847.864	258.430	177.312	437.624	214.473	221.065	54.000	167.459	272.088	27.457	311.598	187.821	28.763	399.116	210.280	23.702
393	3.92000	309.851	304.603	1623.157	249.507	458.317	1343.117	232.771	514.880	1022.074	296.403	621.895	822.793	259.136	144.979	1352.607	258.976	55.693	1034.157	348.315	-61.043	851.368	291.440	463.501	826.727	244.141	397.136	443.621	205.594	359.173	55.021	165.343	304.574	20.144	302.061	400.296	28.520	384.406	383.090	27.005	278.089	103.571	847.968	258.372	177.270	437.671	214.351	221.018	54.018	167.318	272.098	27.035	311.500	187.759	28.936	399.096	210.136	23.780
394	3.93000	309.849	304.680	1623.113	249.549	458.286	1343.116	232.624	515.006	1022.202	296.064	621.829	822.953	259.293	145.121	1352.652	258.780	55.765	1034.172	348.130	-60.983	851.433	291.362	463.568	826.737	244.091	396.983	443.572	205.116	359.301	55.450	165.444	304.518	20.108	301.996	400.256	28.749	384.445	383.022	26.819	277.969	103.570	847.981	258.371	177.341	437.494	214.518	221.032	53.912	167.250	271.976	27.035	311.637	187.743	28.945	398.970	210.274	23.513
395	3.94000	309.764	304.765	1623.127	249.481	458.330	1342.992	232.511	515.028	1022.175	295.971	621.869	822.925	259.089	145.126	1352.749	258.745	55.777	1034.287	348.015	-60.959	851.438	291.302	463.493	826.775	243.954	397.213	443.642	205.584	359.372	54.909	165.370	304.559	20.128	302.085	400.304	28.523	384.499	383.122	26.891	277.877	103.579	848.029	258.337	177.415	437.620	214.625	221.229	54.155	167.258	272.087	27.060	311.641	187.805	28.773	398.986	210.223	23.676
396	3.95000	309.712	304.808	1623.102	249.487	458.401	1343.146	232.388	515.111	1022.280	296.061	622.153	822.957	259.038	145.133	1353.101	258.650	55.858	1034.198	348.009	-60.963	851.426	291.297	463.558	826.812	243.952	396.893	443.616	205.522	359.379	55.166	165.316	304.547	20.172	302.177	400.390	28.521	384.503	382.997	26.821	277.991	103.610	847.913	258.348	177.443	437.614	214.290	220.992	54.087	167.297	272.084	27.261	311.509	187.729	28.926	399.044	210.261	23.695
397	3.96000	309.641	304.859	1623.120	249.397	458.453	1343.019	232.197	515.097	1022.269	295.882	622.190	822.871	259.058	145.227	1352.813	258.591	55.818	1034.256	347.799	-60.953	851.443	291.187	463.532	826.796	243.737	397.206	443.704	205.765	359.285	54.669	165.386	304.460	20.160	301.789	400.204	28.585	384.525	383.113	26.914	277.759	103.586	848.016	258.229	177.469	437.623	214.894	221.012	54.068	167.192	272.028	27.359	311.517	187.850	28.965	398.996	210.239	23.592
398	3.97000	309.554	304.977	1623.108	249.333	458.469	1343.031	232.274	515.144	1022.343	295.635	622.186	822.974	258.553	145.133	1353.058	258.454	55.878	1034.308	347.844	-60.868	851.562	291.090	463.574	826.752	243.843	396.957	443.628	205.376	359.266	55.353	165.303	304.522	20.142	301.979	400.462	28.867	384.478	383.058	27.047	277.623	103.597	848.052	258.290	177.378	437.646	214.520	221.078	54.025	167.189	272.013	27.234	311.462	187.849	28.789	399.158	210.203	23.688
