NO_OF_FRAMES	636
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2156	21.55000	-92.184	378.920	1583.494	-79.161	503.346	1327.809	-44.468	598.261	1033.852	32.775	491.039	1201.463	-259.570	271.188	1326.687	-358.292	208.522	1034.187	-201.934	155.162	1174.618	-50.984	490.956	795.816	86.503	428.321	451.712	106.680	398.800	59.419	67.900	343.998	23.369	208.012	439.506	28.851	288.501	414.515	28.913	-306.195	236.257	837.138	-351.414	304.904	429.237	-474.547	400.026	61.560	-466.422	468.252	31.331	-451.202	304.539	33.979	-391.522	243.410	27.739
2157	21.56000	-92.221	378.515	1583.485	-79.699	503.361	1327.867	-45.517	598.416	1033.911	32.386	491.374	1201.475	-259.641	270.701	1326.127	-358.192	208.090	1034.060	-201.799	154.718	1174.239	-51.051	490.916	795.816	86.361	428.147	451.658	106.736	398.843	59.503	68.045	344.174	23.268	208.235	439.454	29.190	288.689	414.341	28.960	-306.156	236.033	837.048	-351.150	305.145	429.219	-474.889	400.195	61.791	-466.369	468.273	31.256	-451.124	304.490	34.024	-391.600	243.242	28.045
2158	21.57000	-92.302	378.100	1583.560	-79.907	502.919	1327.675	-46.036	598.599	1033.946	31.969	491.790	1201.382	-259.852	269.969	1326.071	-357.744	207.579	1033.735	-201.522	154.483	1174.140	-51.203	490.874	795.800	86.091	428.137	451.668	109.104	396.014	54.944	67.933	344.079	23.479	208.160	439.420	29.042	288.173	414.448	29.357	-306.092	235.608	837.014	-350.934	305.101	429.081	-474.507	400.345	61.659	-466.410	468.246	31.323	-451.111	304.430	33.927	-391.544	243.565	27.741
2159	21.58000	-92.348	377.665	1583.614	-80.471	503.137	1327.911	-46.823	598.460	1033.986	31.610	492.246	1201.407	-259.880	269.571	1326.050	-357.640	207.087	1033.633	-201.321	154.221	1174.168	-51.357	490.902	795.827	86.004	428.065	451.699	107.079	398.770	59.289	68.103	344.206	23.224	207.918	439.140	29.078	288.368	414.213	29.036	-305.983	235.355	836.936	-351.414	304.539	429.297	-474.568	400.426	61.778	-466.559	467.928	31.426	-451.100	304.644	34.016	-391.491	243.492	27.767
2160	21.59000	-92.392	377.298	1583.658	-80.894	502.820	1327.717	-47.694	598.395	1033.953	31.212	492.474	1201.455	-259.575	269.286	1326.211	-357.389	206.512	1033.515	-200.967	153.890	1174.030	-51.658	490.946	795.864	85.578	428.113	451.556	107.379	397.789	58.201	67.973	344.188	23.350	208.422	439.323	29.469	288.194	414.352	29.435	-305.917	235.061	836.822	-352.023	303.949	429.648	-474.517	400.334	61.851	-466.632	468.076	31.565	-451.218	304.536	34.000	-391.641	243.375	27.764
2161	21.60000	-92.478	376.946	1583.755	-81.077	502.769	1327.737	-48.255	598.361	1033.830	30.825	492.697	1201.330	-259.469	268.795	1326.179	-357.013	205.948	1033.301	-200.795	153.445	1173.980	-51.772	490.941	795.993	85.330	428.178	451.600	108.755	396.246	55.003	68.037	344.166	23.333	208.177	439.395	29.210	288.343	414.264	29.363	-305.760	234.752	836.797	-352.103	303.876	429.306	-474.532	400.289	61.788	-466.474	468.016	31.282	-451.158	304.459	34.025	-391.533	243.330	27.643
2162	21.61000	-92.539	376.569	1583.745	-81.538	502.694	1327.802	-48.862	598.262	1033.886	30.410	492.943	1201.361	-259.434	268.427	1325.937	-356.725	205.319	1033.248	-200.271	153.214	1173.993	-51.926	490.777	796.017	85.094	427.954	451.288	109.302	396.082	54.623	67.905	343.937	23.307	207.993	439.229	29.128	288.219	414.182	29.481	-305.701	234.304	836.721	-351.374	304.064	429.063	-474.742	400.142	61.857	-466.447	468.037	31.458	-451.162	304.490	33.920	-391.675	243.297	27.679
2163	21.62000	-92.595	376.243	1583.786	-81.966	502.700	1327.901	-49.584	598.139	1033.820	29.947	492.913	1201.256	-259.376	267.817	1326.222	-356.377	204.718	1033.178	-199.938	152.893	1174.046	-52.314	490.690	796.049	84.804	428.187	451.287	108.901	396.452	54.792	67.953	344.013	23.243	208.145	439.168	29.001	288.261	414.217	29.529	-305.461	234.023	836.519	-351.525	303.942	429.050	-474.526	400.289	61.870	-466.347	468.173	31.394	-451.223	304.555	33.889	-391.413	243.524	27.119
2164	21.63000	-92.728	375.906	1583.768	-82.137	502.324	1327.768	-50.230	598.072	1033.734	29.826	493.382	1201.191	-259.138	267.366	1326.263	-356.139	204.140	1033.151	-199.721	152.314	1174.178	-52.503	490.680	796.132	84.525	428.120	451.057	108.771	396.367	54.536	67.998	343.933	23.184	208.257	439.058	29.072	288.155	414.165	29.425	-305.264	233.633	836.537	-351.290	303.963	429.014	-474.526	400.311	61.734	-466.457	468.186	31.372	-451.334	304.282	33.933	-391.533	243.201	27.634
2165	21.64000	-92.766	375.559	1583.749	-82.402	502.099	1327.812	-50.945	597.979	1033.783	29.394	493.548	1201.210	-258.848	266.746	1326.071	-355.576	203.461	1033.150	-199.152	152.047	1174.201	-52.663	490.633	796.076	84.294	428.189	451.058	108.748	396.318	54.882	68.090	344.021	23.030	208.079	439.177	29.073	288.103	414.111	29.510	-304.968	233.189	836.237	-351.046	303.874	428.986	-474.562	400.317	61.961	-466.482	468.142	31.508	-451.340	304.434	33.937	-391.454	243.240	27.475
