NO_OF_FRAMES	127
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
163	1.62000	-5.183	322.618	1594.150	-36.157	494.355	1325.984	75.599	597.056	1049.820	305.165	601.664	997.411	-75.678	192.016	1326.996	-152.782	115.752	1016.066	-120.610	51.919	790.436	-39.636	501.034	811.448	-144.917	430.851	441.638	-334.780	395.119	89.539	-395.656	351.968	72.906	-242.568	410.267	30.349	-174.624	369.330	31.934	-33.347	139.963	823.587	143.916	220.660	449.302	226.650	238.978	64.808	183.403	286.211	23.070	331.968	232.597	63.876	393.273	251.673	102.616
164	1.63000	6.019	322.165	1593.160	-24.860	493.585	1326.204	88.445	596.052	1049.738	318.872	599.025	1003.331	-63.997	191.720	1326.092	-142.694	115.293	1015.453	-112.392	51.034	790.088	-26.932	499.911	810.296	-134.150	430.201	441.875	-332.630	395.688	92.675	-393.576	352.702	77.799	-242.531	410.768	30.030	-174.518	369.263	31.961	-19.414	139.056	823.722	156.158	222.003	448.535	226.029	240.602	58.951	181.888	286.915	17.922	331.047	233.940	56.106	394.022	254.103	92.862
165	1.64000	17.101	321.939	1592.403	-13.094	492.754	1325.631	100.314	595.275	1049.927	331.305	596.392	1008.109	-52.003	191.099	1325.040	-132.177	114.981	1014.882	-103.197	50.450	788.883	-13.771	498.864	808.896	-122.383	429.191	440.992	-330.065	396.587	95.814	-391.643	353.123	82.724	-242.308	410.974	30.070	-174.576	369.383	31.954	-3.530	136.239	824.395	167.469	223.496	445.832	224.050	241.786	54.790	179.341	285.926	16.139	329.329	234.974	47.998	393.989	255.937	82.955
166	1.65000	28.169	321.513	1591.812	-1.873	491.973	1324.948	111.407	594.253	1049.196	342.877	593.636	1011.657	-40.151	190.562	1324.567	-121.569	114.562	1014.489	-93.921	49.655	788.932	-0.060	497.897	807.978	-110.855	428.268	440.299	-327.233	396.814	101.084	-388.645	353.053	89.978	-241.871	411.087	30.644	-174.364	369.394	32.109	10.877	135.457	824.770	177.384	224.393	444.066	226.537	243.354	56.162	182.438	287.367	18.663	332.350	234.003	42.949	399.621	253.137	74.179
167	1.66000	39.200	321.043	1591.905	9.176	491.049	1323.933	122.055	593.361	1048.232	353.960	590.999	1016.061	-29.784	188.173	1324.312	-110.388	114.094	1014.369	-83.473	49.070	788.357	14.082	496.810	806.616	-99.051	427.233	440.308	-323.963	397.831	104.243	-385.267	353.464	95.580	-241.153	411.143	30.464	-174.321	369.341	32.249	25.796	134.030	825.425	186.002	224.036	442.319	235.897	242.657	57.938	187.200	287.694	21.787	338.594	233.314	42.912	407.734	252.119	71.698
168	1.67000	50.385	320.462	1592.506	20.239	490.931	1323.810	132.254	592.370	1047.519	363.726	588.005	1018.127	-17.450	187.336	1324.102	-99.136	113.562	1014.104	-73.345	48.067	788.050	28.226	496.167	805.252	-86.004	426.377	439.300	-319.966	397.489	110.763	-380.833	352.886	102.712	-241.270	411.506	31.070	-174.266	369.286	32.154	40.638	132.670	827.124	195.335	222.923	442.390	240.505	242.852	54.740	188.602	287.403	23.073	341.855	234.238	38.296	411.292	252.071	64.311
169	1.68000	61.651	319.905	1593.342	31.280	490.665	1324.631	141.248	591.304	1046.573	373.473	585.828	1019.580	-4.161	187.187	1323.179	-86.791	112.976	1013.853	-61.598	47.495	787.823	43.233	495.128	804.659	-72.355	426.050	438.613	-315.789	398.139	115.067	-375.899	351.685	111.133	-240.659	411.386	31.104	-174.400	369.663	32.285	55.064	131.652	830.235	205.594	220.752	443.842	240.051	242.744	54.453	188.762	286.521	23.748	341.807	234.455	33.496	411.679	254.050	57.904
170	1.69000	72.989	319.561	1594.404	42.065	490.664	1325.095	150.181	590.142	1045.954	381.999	583.727	1019.429	6.824	186.150	1324.020	-74.092	112.135	1014.261	-49.871	46.544	788.310	58.151	494.610	804.392	-57.401	425.894	438.623	-310.432	397.989	120.746	-369.148	350.313	119.484	-240.563	411.332	31.759	-174.360	370.079	32.364	68.797	131.112	834.044	217.347	220.864	446.866	240.417	242.369	55.659	189.544	285.997	24.901	343.281	234.371	31.602	413.452	255.220	53.388
171	1.70000	84.601	318.867	1595.766	53.680	490.350	1326.601	158.439	588.618	1044.980	389.719	582.006	1018.585	19.008	185.293	1324.969	-61.157	111.225	1014.916	-37.344	45.586	788.743	73.137	494.138	804.637	-41.032	426.738	437.445	-304.805	397.875	126.786	-361.559	348.463	128.075	-240.079	411.068	32.181	-173.933	370.298	32.726	82.104	130.188	837.243	229.703	221.562	449.046	242.741	240.413	56.241	190.153	285.608	25.853	344.332	232.196	30.279	415.981	254.529	49.565
172	1.71000	95.895	318.432	1597.239	65.075	489.948	1328.356	166.569	587.148	1044.377	397.003	580.453	1016.250	30.569	184.687	1326.308	-47.918	110.443	1015.676	-23.519	44.879	789.537	87.651	493.440	805.005	-24.048	428.703	437.401	-297.543	397.773	132.563	-352.158	345.961	137.290	-239.517	409.706	33.019	-173.768	370.645	32.568	94.974	129.340	839.854	240.478	221.960	448.870	243.031	240.508	55.621	190.774	285.486	26.229	344.207	230.639	29.710	417.188	254.189	45.943
